id,upz,localidad,lon,lat
4,18.0,11.0,-74.10436400134729,4.573682946966801
8,18.0,11.0,-74.10436400134729,4.573682946966801
229,18.0,11.0,-74.10436400134729,4.573682946966801
324,18.0,11.0,-74.10436400134729,4.573682946966801
653,18.0,11.0,-74.10436400134729,4.573682946966801
654,18.0,11.0,-74.10436400134729,4.573682946966801
657,18.0,11.0,-74.10436400134729,4.573682946966801
969,18.0,11.0,-74.10436400134729,4.573682946966801
1675,18.0,11.0,-74.10436400134729,4.573682946966801
1676,18.0,11.0,-74.10436400134729,4.573682946966801
1677,18.0,11.0,-74.10436400134729,4.573682946966801
1678,18.0,11.0,-74.10436400134729,4.573682946966801
1679,18.0,11.0,-74.10436400134729,4.573682946966801
1680,18.0,11.0,-74.10436400134729,4.573682946966801
1692,18.0,11.0,-74.10436400134729,4.573682946966801
1695,18.0,11.0,-74.10436400134729,4.573682946966801
2321,18.0,11.0,-74.10436400134729,4.573682946966801
2322,18.0,11.0,-74.10436400134729,4.573682946966801
2323,18.0,11.0,-74.10436400134729,4.573682946966801
2324,18.0,11.0,-74.10436400134729,4.573682946966801
2325,18.0,11.0,-74.10436400134729,4.573682946966801
2326,18.0,11.0,-74.10436400134729,4.573682946966801
2327,18.0,11.0,-74.10436400134729,4.573682946966801
2328,18.0,11.0,-74.10436400134729,4.573682946966801
2970,18.0,11.0,-74.10436400134729,4.573682946966801
2971,18.0,11.0,-74.10436400134729,4.573682946966801
2972,18.0,11.0,-74.10436400134729,4.573682946966801
2973,18.0,11.0,-74.10436400134729,4.573682946966801
4570,18.0,11.0,-74.10436400134729,4.573682946966801
4571,18.0,11.0,-74.10436400134729,4.573682946966801
4572,18.0,11.0,-74.10436400134729,4.573682946966801
4573,18.0,11.0,-74.10436400134729,4.573682946966801
4576,18.0,11.0,-74.10436400134729,4.573682946966801
4577,18.0,11.0,-74.10436400134729,4.573682946966801
4754,18.0,11.0,-74.10436400134729,4.573682946966801
4762,18.0,11.0,-74.10436400134729,4.573682946966801
5808,18.0,11.0,-74.10436400134729,4.573682946966801
5809,18.0,11.0,-74.10436400134729,4.573682946966801
5810,18.0,11.0,-74.10436400134729,4.573682946966801
5811,18.0,11.0,-74.10436400134729,4.573682946966801
5812,18.0,11.0,-74.10436400134729,4.573682946966801
5813,18.0,11.0,-74.10436400134729,4.573682946966801
5814,18.0,11.0,-74.10436400134729,4.573682946966801
5815,18.0,11.0,-74.10436400134729,4.573682946966801
5816,18.0,11.0,-74.10436400134729,4.573682946966801
6434,18.0,11.0,-74.10436400134729,4.573682946966801
6435,18.0,11.0,-74.10436400134729,4.573682946966801
6436,18.0,11.0,-74.10436400134729,4.573682946966801
6437,18.0,11.0,-74.10436400134729,4.573682946966801
6438,18.0,11.0,-74.10436400134729,4.573682946966801
6439,18.0,11.0,-74.10436400134729,4.573682946966801
6440,18.0,11.0,-74.10436400134729,4.573682946966801
6441,18.0,11.0,-74.10436400134729,4.573682946966801
6442,18.0,11.0,-74.10436400134729,4.573682946966801
6449,18.0,11.0,-74.10436400134729,4.573682946966801
6450,18.0,11.0,-74.10436400134729,4.573682946966801
6914,18.0,11.0,-74.10436400134729,4.573682946966801
7664,18.0,11.0,-74.10436400134729,4.573682946966801
7665,18.0,11.0,-74.10436400134729,4.573682946966801
7666,18.0,11.0,-74.10436400134729,4.573682946966801
7667,18.0,11.0,-74.10436400134729,4.573682946966801
7672,18.0,11.0,-74.10436400134729,4.573682946966801
8285,18.0,11.0,-74.10436400134729,4.573682946966801
8482,18.0,11.0,-74.10436400134729,4.573682946966801
8483,18.0,11.0,-74.10436400134729,4.573682946966801
8484,18.0,11.0,-74.10436400134729,4.573682946966801
8485,18.0,11.0,-74.10436400134729,4.573682946966801
8486,18.0,11.0,-74.10436400134729,4.573682946966801
8487,18.0,11.0,-74.10436400134729,4.573682946966801
8490,18.0,11.0,-74.10436400134729,4.573682946966801
8492,18.0,11.0,-74.10436400134729,4.573682946966801
8822,18.0,11.0,-74.10436400134729,4.573682946966801
8823,18.0,11.0,-74.10436400134729,4.573682946966801
8824,18.0,11.0,-74.10436400134729,4.573682946966801
8951,18.0,11.0,-74.10436400134729,4.573682946966801
8952,18.0,11.0,-74.10436400134729,4.573682946966801
8953,18.0,11.0,-74.10436400134729,4.573682946966801
8954,18.0,11.0,-74.10436400134729,4.573682946966801
9114,18.0,11.0,-74.10436400134729,4.573682946966801
9116,18.0,11.0,-74.10436400134729,4.573682946966801
9117,18.0,11.0,-74.10436400134729,4.573682946966801
9145,18.0,11.0,-74.10436400134729,4.573682946966801
9147,18.0,11.0,-74.10436400134729,4.573682946966801
5,12.0,1.0,-74.07928379173741,4.671813661371529
6,12.0,1.0,-74.07928379173741,4.671813661371529
328,12.0,1.0,-74.07928379173741,4.671813661371529
329,12.0,1.0,-74.07928379173741,4.671813661371529
330,12.0,1.0,-74.07928379173741,4.671813661371529
331,12.0,1.0,-74.07928379173741,4.671813661371529
816,12.0,1.0,-74.07928379173741,4.671813661371529
1120,12.0,1.0,-74.07928379173741,4.671813661371529
1121,12.0,1.0,-74.07928379173741,4.671813661371529
1122,12.0,1.0,-74.07928379173741,4.671813661371529
1123,12.0,1.0,-74.07928379173741,4.671813661371529
1683,12.0,1.0,-74.07928379173741,4.671813661371529
1684,12.0,1.0,-74.07928379173741,4.671813661371529
1685,12.0,1.0,-74.07928379173741,4.671813661371529
2144,12.0,1.0,-74.07928379173741,4.671813661371529
2145,12.0,1.0,-74.07928379173741,4.671813661371529
2146,12.0,1.0,-74.07928379173741,4.671813661371529
2147,12.0,1.0,-74.07928379173741,4.671813661371529
2148,12.0,1.0,-74.07928379173741,4.671813661371529
2713,12.0,1.0,-74.07928379173741,4.671813661371529
2714,12.0,1.0,-74.07928379173741,4.671813661371529
2715,12.0,1.0,-74.07928379173741,4.671813661371529
2716,12.0,1.0,-74.07928379173741,4.671813661371529
2717,12.0,1.0,-74.07928379173741,4.671813661371529
2718,12.0,1.0,-74.07928379173741,4.671813661371529
2719,12.0,1.0,-74.07928379173741,4.671813661371529
2720,12.0,1.0,-74.07928379173741,4.671813661371529
3896,12.0,1.0,-74.07928379173741,4.671813661371529
4095,12.0,1.0,-74.07928379173741,4.671813661371529
4096,12.0,1.0,-74.07928379173741,4.671813661371529
4097,12.0,1.0,-74.07928379173741,4.671813661371529
4098,12.0,1.0,-74.07928379173741,4.671813661371529
4099,12.0,1.0,-74.07928379173741,4.671813661371529
4574,12.0,1.0,-74.07928379173741,4.671813661371529
4575,12.0,1.0,-74.07928379173741,4.671813661371529
4884,12.0,1.0,-74.07928379173741,4.671813661371529
4885,12.0,1.0,-74.07928379173741,4.671813661371529
5016,12.0,1.0,-74.07928379173741,4.671813661371529
5017,12.0,1.0,-74.07928379173741,4.671813661371529
5018,12.0,1.0,-74.07928379173741,4.671813661371529
5495,12.0,1.0,-74.07928379173741,4.671813661371529
5800,12.0,1.0,-74.07928379173741,4.671813661371529
5801,12.0,1.0,-74.07928379173741,4.671813661371529
5802,12.0,1.0,-74.07928379173741,4.671813661371529
5803,12.0,1.0,-74.07928379173741,4.671813661371529
5804,12.0,1.0,-74.07928379173741,4.671813661371529
5947,12.0,1.0,-74.07928379173741,4.671813661371529
5948,12.0,1.0,-74.07928379173741,4.671813661371529
5949,12.0,1.0,-74.07928379173741,4.671813661371529
6915,12.0,1.0,-74.07928379173741,4.671813661371529
6942,12.0,1.0,-74.07928379173741,4.671813661371529
6943,12.0,1.0,-74.07928379173741,4.671813661371529
6946,12.0,1.0,-74.07928379173741,4.671813661371529
6950,12.0,1.0,-74.07928379173741,4.671813661371529
6951,12.0,1.0,-74.07928379173741,4.671813661371529
6952,12.0,1.0,-74.07928379173741,4.671813661371529
6953,12.0,1.0,-74.07928379173741,4.671813661371529
6954,12.0,1.0,-74.07928379173741,4.671813661371529
6955,12.0,1.0,-74.07928379173741,4.671813661371529
6956,12.0,1.0,-74.07928379173741,4.671813661371529
6957,12.0,1.0,-74.07928379173741,4.671813661371529
6958,12.0,1.0,-74.07928379173741,4.671813661371529
6959,12.0,1.0,-74.07928379173741,4.671813661371529
7717,12.0,1.0,-74.07928379173741,4.671813661371529
7718,12.0,1.0,-74.07928379173741,4.671813661371529
7719,12.0,1.0,-74.07928379173741,4.671813661371529
7720,12.0,1.0,-74.07928379173741,4.671813661371529
7724,12.0,1.0,-74.07928379173741,4.671813661371529
7726,12.0,1.0,-74.07928379173741,4.671813661371529
7728,12.0,1.0,-74.07928379173741,4.671813661371529
7729,12.0,1.0,-74.07928379173741,4.671813661371529
7730,12.0,1.0,-74.07928379173741,4.671813661371529
7731,12.0,1.0,-74.07928379173741,4.671813661371529
8018,12.0,1.0,-74.07928379173741,4.671813661371529
8019,12.0,1.0,-74.07928379173741,4.671813661371529
8020,12.0,1.0,-74.07928379173741,4.671813661371529
8021,12.0,1.0,-74.07928379173741,4.671813661371529
8022,12.0,1.0,-74.07928379173741,4.671813661371529
8023,12.0,1.0,-74.07928379173741,4.671813661371529
8024,12.0,1.0,-74.07928379173741,4.671813661371529
8488,12.0,1.0,-74.07928379173741,4.671813661371529
8678,12.0,1.0,-74.07928379173741,4.671813661371529
8680,12.0,1.0,-74.07928379173741,4.671813661371529
8681,12.0,1.0,-74.07928379173741,4.671813661371529
8682,12.0,1.0,-74.07928379173741,4.671813661371529
8683,12.0,1.0,-74.07928379173741,4.671813661371529
8684,12.0,1.0,-74.07928379173741,4.671813661371529
8688,12.0,1.0,-74.07928379173741,4.671813661371529
8689,12.0,1.0,-74.07928379173741,4.671813661371529
8690,12.0,1.0,-74.07928379173741,4.671813661371529
8691,12.0,1.0,-74.07928379173741,4.671813661371529
8826,12.0,1.0,-74.07928379173741,4.671813661371529
8827,12.0,1.0,-74.07928379173741,4.671813661371529
8828,12.0,1.0,-74.07928379173741,4.671813661371529
8829,12.0,1.0,-74.07928379173741,4.671813661371529
9019,12.0,1.0,-74.07928379173741,4.671813661371529
9020,12.0,1.0,-74.07928379173741,4.671813661371529
9021,12.0,1.0,-74.07928379173741,4.671813661371529
9363,12.0,1.0,-74.07928379173741,4.671813661371529
9403,12.0,1.0,-74.07928379173741,4.671813661371529
7,13.0,1.0,-74.07390273214551,4.627946363535926
170,13.0,1.0,-74.07390273214551,4.627946363535926
171,13.0,1.0,-74.07390273214551,4.627946363535926
172,13.0,1.0,-74.07390273214551,4.627946363535926
173,13.0,1.0,-74.07390273214551,4.627946363535926
174,13.0,1.0,-74.07390273214551,4.627946363535926
332,13.0,1.0,-74.07390273214551,4.627946363535926
333,13.0,1.0,-74.07390273214551,4.627946363535926
334,13.0,1.0,-74.07390273214551,4.627946363535926
335,13.0,1.0,-74.07390273214551,4.627946363535926
336,13.0,1.0,-74.07390273214551,4.627946363535926
337,13.0,1.0,-74.07390273214551,4.627946363535926
496,13.0,1.0,-74.07390273214551,4.627946363535926
497,13.0,1.0,-74.07390273214551,4.627946363535926
498,13.0,1.0,-74.07390273214551,4.627946363535926
499,13.0,1.0,-74.07390273214551,4.627946363535926
818,13.0,1.0,-74.07390273214551,4.627946363535926
819,13.0,1.0,-74.07390273214551,4.627946363535926
820,13.0,1.0,-74.07390273214551,4.627946363535926
1007,13.0,1.0,-74.07390273214551,4.627946363535926
1008,13.0,1.0,-74.07390273214551,4.627946363535926
1009,13.0,1.0,-74.07390273214551,4.627946363535926
1010,13.0,1.0,-74.07390273214551,4.627946363535926
1011,13.0,1.0,-74.07390273214551,4.627946363535926
1012,13.0,1.0,-74.07390273214551,4.627946363535926
1013,13.0,1.0,-74.07390273214551,4.627946363535926
1014,13.0,1.0,-74.07390273214551,4.627946363535926
1691,13.0,1.0,-74.07390273214551,4.627946363535926
2150,13.0,1.0,-74.07390273214551,4.627946363535926
2151,13.0,1.0,-74.07390273214551,4.627946363535926
2152,13.0,1.0,-74.07390273214551,4.627946363535926
2153,13.0,1.0,-74.07390273214551,4.627946363535926
2154,13.0,1.0,-74.07390273214551,4.627946363535926
2155,13.0,1.0,-74.07390273214551,4.627946363535926
2156,13.0,1.0,-74.07390273214551,4.627946363535926
2157,13.0,1.0,-74.07390273214551,4.627946363535926
2158,13.0,1.0,-74.07390273214551,4.627946363535926
2159,13.0,1.0,-74.07390273214551,4.627946363535926
2725,13.0,1.0,-74.07390273214551,4.627946363535926
2974,13.0,1.0,-74.07390273214551,4.627946363535926
2975,13.0,1.0,-74.07390273214551,4.627946363535926
2976,13.0,1.0,-74.07390273214551,4.627946363535926
2977,13.0,1.0,-74.07390273214551,4.627946363535926
3898,13.0,1.0,-74.07390273214551,4.627946363535926
3899,13.0,1.0,-74.07390273214551,4.627946363535926
3900,13.0,1.0,-74.07390273214551,4.627946363535926
3901,13.0,1.0,-74.07390273214551,4.627946363535926
4482,13.0,1.0,-74.07390273214551,4.627946363535926
5019,13.0,1.0,-74.07390273214551,4.627946363535926
5020,13.0,1.0,-74.07390273214551,4.627946363535926
5022,13.0,1.0,-74.07390273214551,4.627946363535926
5023,13.0,1.0,-74.07390273214551,4.627946363535926
5805,13.0,1.0,-74.07390273214551,4.627946363535926
5806,13.0,1.0,-74.07390273214551,4.627946363535926
5950,13.0,1.0,-74.07390273214551,4.627946363535926
6566,13.0,1.0,-74.07390273214551,4.627946363535926
6567,13.0,1.0,-74.07390273214551,4.627946363535926
6568,13.0,1.0,-74.07390273214551,4.627946363535926
6569,13.0,1.0,-74.07390273214551,4.627946363535926
6570,13.0,1.0,-74.07390273214551,4.627946363535926
6571,13.0,1.0,-74.07390273214551,4.627946363535926
6944,13.0,1.0,-74.07390273214551,4.627946363535926
6945,13.0,1.0,-74.07390273214551,4.627946363535926
6947,13.0,1.0,-74.07390273214551,4.627946363535926
6948,13.0,1.0,-74.07390273214551,4.627946363535926
6949,13.0,1.0,-74.07390273214551,4.627946363535926
6961,13.0,1.0,-74.07390273214551,4.627946363535926
6963,13.0,1.0,-74.07390273214551,4.627946363535926
6965,13.0,1.0,-74.07390273214551,4.627946363535926
6966,13.0,1.0,-74.07390273214551,4.627946363535926
7292,13.0,1.0,-74.07390273214551,4.627946363535926
7732,13.0,1.0,-74.07390273214551,4.627946363535926
7733,13.0,1.0,-74.07390273214551,4.627946363535926
7736,13.0,1.0,-74.07390273214551,4.627946363535926
7738,13.0,1.0,-74.07390273214551,4.627946363535926
8017,13.0,1.0,-74.07390273214551,4.627946363535926
8287,13.0,1.0,-74.07390273214551,4.627946363535926
8413,13.0,1.0,-74.07390273214551,4.627946363535926
8676,13.0,1.0,-74.07390273214551,4.627946363535926
8679,13.0,1.0,-74.07390273214551,4.627946363535926
8779,13.0,1.0,-74.07390273214551,4.627946363535926
8832,13.0,1.0,-74.07390273214551,4.627946363535926
9022,13.0,1.0,-74.07390273214551,4.627946363535926
9037,13.0,1.0,-74.07390273214551,4.627946363535926
9038,13.0,1.0,-74.07390273214551,4.627946363535926
9040,13.0,1.0,-74.07390273214551,4.627946363535926
9118,13.0,1.0,-74.07390273214551,4.627946363535926
9364,13.0,1.0,-74.07390273214551,4.627946363535926
9365,13.0,1.0,-74.07390273214551,4.627946363535926
9404,13.0,1.0,-74.07390273214551,4.627946363535926
9541,13.0,1.0,-74.07390273214551,4.627946363535926
169,11.0,1.0,-74.07356314866587,4.717391011060253
325,11.0,1.0,-74.07356314866587,4.717391011060253
326,11.0,1.0,-74.07356314866587,4.717391011060253
327,11.0,1.0,-74.07356314866587,4.717391011060253
812,11.0,1.0,-74.07356314866587,4.717391011060253
1003,11.0,1.0,-74.07356314866587,4.717391011060253
1004,11.0,1.0,-74.07356314866587,4.717391011060253
1005,11.0,1.0,-74.07356314866587,4.717391011060253
1006,11.0,1.0,-74.07356314866587,4.717391011060253
1066,11.0,1.0,-74.07356314866587,4.717391011060253
1067,11.0,1.0,-74.07356314866587,4.717391011060253
1068,11.0,1.0,-74.07356314866587,4.717391011060253
1069,11.0,1.0,-74.07356314866587,4.717391011060253
1070,11.0,1.0,-74.07356314866587,4.717391011060253
1071,11.0,1.0,-74.07356314866587,4.717391011060253
1072,11.0,1.0,-74.07356314866587,4.717391011060253
1073,11.0,1.0,-74.07356314866587,4.717391011060253
1074,11.0,1.0,-74.07356314866587,4.717391011060253
1665,11.0,1.0,-74.07356314866587,4.717391011060253
1666,11.0,1.0,-74.07356314866587,4.717391011060253
1667,11.0,1.0,-74.07356314866587,4.717391011060253
1668,11.0,1.0,-74.07356314866587,4.717391011060253
1681,11.0,1.0,-74.07356314866587,4.717391011060253
1682,11.0,1.0,-74.07356314866587,4.717391011060253
1686,11.0,1.0,-74.07356314866587,4.717391011060253
1687,11.0,1.0,-74.07356314866587,4.717391011060253
1688,11.0,1.0,-74.07356314866587,4.717391011060253
1689,11.0,1.0,-74.07356314866587,4.717391011060253
1690,11.0,1.0,-74.07356314866587,4.717391011060253
2136,11.0,1.0,-74.07356314866587,4.717391011060253
2137,11.0,1.0,-74.07356314866587,4.717391011060253
2711,11.0,1.0,-74.07356314866587,4.717391011060253
2712,11.0,1.0,-74.07356314866587,4.717391011060253
2721,11.0,1.0,-74.07356314866587,4.717391011060253
2722,11.0,1.0,-74.07356314866587,4.717391011060253
2723,11.0,1.0,-74.07356314866587,4.717391011060253
2724,11.0,1.0,-74.07356314866587,4.717391011060253
2954,11.0,1.0,-74.07356314866587,4.717391011060253
2955,11.0,1.0,-74.07356314866587,4.717391011060253
2956,11.0,1.0,-74.07356314866587,4.717391011060253
2957,11.0,1.0,-74.07356314866587,4.717391011060253
2958,11.0,1.0,-74.07356314866587,4.717391011060253
2959,11.0,1.0,-74.07356314866587,4.717391011060253
3891,11.0,1.0,-74.07356314866587,4.717391011060253
3894,11.0,1.0,-74.07356314866587,4.717391011060253
3895,11.0,1.0,-74.07356314866587,4.717391011060253
3897,11.0,1.0,-74.07356314866587,4.717391011060253
4289,11.0,1.0,-74.07356314866587,4.717391011060253
5005,11.0,1.0,-74.07356314866587,4.717391011060253
5006,11.0,1.0,-74.07356314866587,4.717391011060253
5007,11.0,1.0,-74.07356314866587,4.717391011060253
5008,11.0,1.0,-74.07356314866587,4.717391011060253
5009,11.0,1.0,-74.07356314866587,4.717391011060253
5010,11.0,1.0,-74.07356314866587,4.717391011060253
5011,11.0,1.0,-74.07356314866587,4.717391011060253
5012,11.0,1.0,-74.07356314866587,4.717391011060253
5013,11.0,1.0,-74.07356314866587,4.717391011060253
5014,11.0,1.0,-74.07356314866587,4.717391011060253
5015,11.0,1.0,-74.07356314866587,4.717391011060253
5021,11.0,1.0,-74.07356314866587,4.717391011060253
5795,11.0,1.0,-74.07356314866587,4.717391011060253
6565,11.0,1.0,-74.07356314866587,4.717391011060253
6913,11.0,1.0,-74.07356314866587,4.717391011060253
7721,11.0,1.0,-74.07356314866587,4.717391011060253
7722,11.0,1.0,-74.07356314866587,4.717391011060253
7723,11.0,1.0,-74.07356314866587,4.717391011060253
7725,11.0,1.0,-74.07356314866587,4.717391011060253
7727,11.0,1.0,-74.07356314866587,4.717391011060253
7734,11.0,1.0,-74.07356314866587,4.717391011060253
7735,11.0,1.0,-74.07356314866587,4.717391011060253
7737,11.0,1.0,-74.07356314866587,4.717391011060253
7739,11.0,1.0,-74.07356314866587,4.717391011060253
8014,11.0,1.0,-74.07356314866587,4.717391011060253
8661,11.0,1.0,-74.07356314866587,4.717391011060253
8670,11.0,1.0,-74.07356314866587,4.717391011060253
8672,11.0,1.0,-74.07356314866587,4.717391011060253
8673,11.0,1.0,-74.07356314866587,4.717391011060253
8674,11.0,1.0,-74.07356314866587,4.717391011060253
8675,11.0,1.0,-74.07356314866587,4.717391011060253
8685,11.0,1.0,-74.07356314866587,4.717391011060253
8686,11.0,1.0,-74.07356314866587,4.717391011060253
8687,11.0,1.0,-74.07356314866587,4.717391011060253
9018,11.0,1.0,-74.07356314866587,4.717391011060253
9039,11.0,1.0,-74.07356314866587,4.717391011060253
9146,11.0,1.0,-74.07356314866587,4.717391011060253
9432,11.0,1.0,-74.07356314866587,4.717391011060253
230,19.0,11.0,-74.14963816183547,4.549805475432622
323,19.0,11.0,-74.14963816183547,4.549805475432622
655,19.0,11.0,-74.14963816183547,4.549805475432622
656,19.0,11.0,-74.14963816183547,4.549805475432622
817,19.0,11.0,-74.14963816183547,4.549805475432622
821,19.0,11.0,-74.14963816183547,4.549805475432622
1674,19.0,11.0,-74.14963816183547,4.549805475432622
2149,19.0,11.0,-74.14963816183547,4.549805475432622
2160,19.0,11.0,-74.14963816183547,4.549805475432622
2161,19.0,11.0,-74.14963816183547,4.549805475432622
2162,19.0,11.0,-74.14963816183547,4.549805475432622
2960,19.0,11.0,-74.14963816183547,4.549805475432622
2961,19.0,11.0,-74.14963816183547,4.549805475432622
2962,19.0,11.0,-74.14963816183547,4.549805475432622
2963,19.0,11.0,-74.14963816183547,4.549805475432622
2964,19.0,11.0,-74.14963816183547,4.549805475432622
2965,19.0,11.0,-74.14963816183547,4.549805475432622
2966,19.0,11.0,-74.14963816183547,4.549805475432622
2967,19.0,11.0,-74.14963816183547,4.549805475432622
2968,19.0,11.0,-74.14963816183547,4.549805475432622
2969,19.0,11.0,-74.14963816183547,4.549805475432622
3745,19.0,11.0,-74.14963816183547,4.549805475432622
3892,19.0,11.0,-74.14963816183547,4.549805475432622
3893,19.0,11.0,-74.14963816183547,4.549805475432622
3902,19.0,11.0,-74.14963816183547,4.549805475432622
3903,19.0,11.0,-74.14963816183547,4.549805475432622
3904,19.0,11.0,-74.14963816183547,4.549805475432622
3905,19.0,11.0,-74.14963816183547,4.549805475432622
4477,19.0,11.0,-74.14963816183547,4.549805475432622
4478,19.0,11.0,-74.14963816183547,4.549805475432622
4479,19.0,11.0,-74.14963816183547,4.549805475432622
4480,19.0,11.0,-74.14963816183547,4.549805475432622
4481,19.0,11.0,-74.14963816183547,4.549805475432622
4749,19.0,11.0,-74.14963816183547,4.549805475432622
4750,19.0,11.0,-74.14963816183547,4.549805475432622
4751,19.0,11.0,-74.14963816183547,4.549805475432622
4752,19.0,11.0,-74.14963816183547,4.549805475432622
4753,19.0,11.0,-74.14963816183547,4.549805475432622
5024,19.0,11.0,-74.14963816183547,4.549805475432622
5025,19.0,11.0,-74.14963816183547,4.549805475432622
6084,19.0,11.0,-74.14963816183547,4.549805475432622
6085,19.0,11.0,-74.14963816183547,4.549805475432622
6086,19.0,11.0,-74.14963816183547,4.549805475432622
6087,19.0,11.0,-74.14963816183547,4.549805475432622
6088,19.0,11.0,-74.14963816183547,4.549805475432622
6089,19.0,11.0,-74.14963816183547,4.549805475432622
6090,19.0,11.0,-74.14963816183547,4.549805475432622
6715,19.0,11.0,-74.14963816183547,4.549805475432622
6962,19.0,11.0,-74.14963816183547,4.549805475432622
6964,19.0,11.0,-74.14963816183547,4.549805475432622
7223,19.0,11.0,-74.14963816183547,4.549805475432622
7224,19.0,11.0,-74.14963816183547,4.549805475432622
7225,19.0,11.0,-74.14963816183547,4.549805475432622
7226,19.0,11.0,-74.14963816183547,4.549805475432622
7227,19.0,11.0,-74.14963816183547,4.549805475432622
7660,19.0,11.0,-74.14963816183547,4.549805475432622
8284,19.0,11.0,-74.14963816183547,4.549805475432622
8288,19.0,11.0,-74.14963816183547,4.549805475432622
8289,19.0,11.0,-74.14963816183547,4.549805475432622
8410,19.0,11.0,-74.14963816183547,4.549805475432622
8411,19.0,11.0,-74.14963816183547,4.549805475432622
8412,19.0,11.0,-74.14963816183547,4.549805475432622
8778,19.0,11.0,-74.14963816183547,4.549805475432622
8825,19.0,11.0,-74.14963816183547,4.549805475432622
8830,19.0,11.0,-74.14963816183547,4.549805475432622
8831,19.0,11.0,-74.14963816183547,4.549805475432622
8833,19.0,11.0,-74.14963816183547,4.549805475432622
9119,19.0,11.0,-74.14963816183547,4.549805475432622
9148,19.0,11.0,-74.14963816183547,4.549805475432622
9149,19.0,11.0,-74.14963816183547,4.549805475432622
9150,19.0,11.0,-74.14963816183547,4.549805475432622
9151,19.0,11.0,-74.14963816183547,4.549805475432622
9152,19.0,11.0,-74.14963816183547,4.549805475432622
9406,19.0,11.0,-74.14963816183547,4.549805475432622
9407,19.0,11.0,-74.14963816183547,4.549805475432622
